Fechas,PIB,Tasa de Desempleo,INPC,Tipo de Cambio USD,CETES 6m (%),CETES 12m (%),Bonos M 10a (%),Empleo IMSS,Salario
2007-03-01,14695303.61,3.941726947,63.33,11.13,7.38,7.37,7.75,13973905,115.9385754
2007-04-01,14739807.6,3.400876953,63.29,10.99,7.27,7.35,7.56,14043649,115.2205283
2007-05-01,14777918.68,3.237050174,62.98,10.83,7.53,7.52,7.68,14072151,115.5552132
2007-06-01,14813298.64,3.315286087,63.06,10.83,7.45,7.55,7.67,14089092,115.4140957
2007-07-01,14844738.04,3.511804479,63.33,10.8,7.45,7.6,7.68,14156216,117.6060048
2007-08-01,14875453.92,3.715667837,63.58,11.04,7.51,7.62,7.84,14224297,117.8342438
2007-09-01,14905508.71,3.79426641,64.08,11.05,7.53,7.68,7.81,14283377,116.5770804
2007-10-01,14933706.91,3.678320811,64.33,10.84,7.56,7.72,7.89,14441717,115.3525793
2007-11-01,14955880.19,3.488633079,64.78,10.87,7.7,7.85,7.89,14539497,116.6660673
2007-12-01,14963390.57,3.410428963,65.05,10.85,7.71,7.83,7.89,14207706,116.5760807
2008-01-01,14953541.8,3.553100078,65.35,10.92,7.68,7.58,7.89,14315318,114.008348
2008-02-01,14939733.78,3.777115719,65.54,10.78,7.52,7.56,7.54,14396101,118.0463164
2008-03-01,14939407.13,3.873407233,66.02,10.73,7.48,7.51,7.49,14400376,117.2346945
2008-04-01,14964244.47,3.729060927,66.17,10.53,7.61,7.81,7.63,14480066,115.8988176
2008-05-01,15003921.6,3.495227703,66.1,10.45,7.75,7.86,8.02,14443848,115.9432194
2008-06-01,15046370.68,3.380808133,66.37,10.33,8.01,8.45,8.73,14472908,115.4859718
2008-07-01,15076791.51,3.541281023,66.74,10.24,8.45,8.72,9.06,14483011,117.9754308
2008-08-01,15093297.01,3.855175247,67.13,10.09,8.56,8.67,8.67,14460993,118.1571033
2008-09-01,15092916.7,4.11033137,67.58,10.57,8.46,8.45,8.49,14526347,116.8599946
2008-10-01,15070278.51,4.161695946,68.05,12.47,8.26,8.21,9.19,14564570,115.5877634
2008-11-01,14997823.32,4.125032461,68.82,13.06,8.28,8.45,9.3,14505253,116.1194428
2008-12-01,14850470.91,4.173175093,69.3,13.37,8.18,7.92,8.28,14178117,115.8658356
2009-01-01,14604847.04,4.425721635,69.46,13.85,7.4,6.85,7.59,14073102,113.5216739
2009-02-01,14320119.9,4.757916971,69.61,14.52,7.17,7.59,8.22,14026501,118.009536
2009-03-01,14090278.09,4.970697693,70.01,14.74,7.24,6.24,8.29,14039826,115.7642118
2009-04-01,13921388.92,5.004083582,70.25,13.49,5.97,5.59,7.7,13979608,114.6283375
2009-05-01,13853816.37,4.97433993,70.05,13.22,5.25,5.15,7.74,13868132,114.9161324
2009-06-01,13883402.16,5.087568747,70.18,13.34,5.08,5.17,8.16,13871175,114.6349861
2009-07-01,14000338.24,5.458433052,70.37,13.36,4.8,5.06,8.07,13887498,116.7458971
2009-08-01,14168812.79,5.907408062,70.54,13,4.78,5.16,8.16,13918843,117.1080071
2009-09-01,14332155.71,6.129018017,70.89,13.4,4.86,5.34,8.04,13992494,116.1283895
2009-10-01,14445482.66,5.937509238,71.11,13.26,4.92,5.37,7.92,14073749,114.6443449
2009-11-01,14523088.26,5.514588852,71.48,13.13,4.82,5.03,7.92,14192197,115.5207052
2009-12-01,14578170.98,5.16940897,71.77,12.85,4.85,5.07,7.93,14006404,115.2055977
2010-01-01,14630442.96,5.091262552,72.55,12.81,4.83,4.96,7.88,14076279,112.3764484
2010-02-01,14682477.01,5.186067979,72.97,12.96,4.74,5.09,7.66,14204647,115.9377817
2010-03-01,14730657.97,5.26197596,73.49,12.61,4.77,5.02,7.69,14341056,113.6328316
2010-04-01,14786114.61,5.21413637,73.26,12.24,4.72,4.93,7.52,14408942,113.1282005
2010-05-01,14840015.05,5.11461452,72.79,12.68,4.72,4.91,7.47,14433952,114.2443031
2010-06-01,14893304.84,5.0881539,72.77,12.72,4.72,4.76,6.99,14480255,114.0707516
2010-07-01,14940596.53,5.219873128,72.93,12.83,4.7,4.78,6.7,14518395,117.0576924
2010-08-01,14985519.59,5.423798118,73.13,12.73,4.71,4.76,6.29,14593979,117.6486914
2010-09-01,15027573.66,5.552851007,73.52,12.86,4.65,4.69,6.23,14701487,116.1545949
2010-10-01,15066778.71,5.508198198,73.97,12.45,4.55,4.48,6.09,14829981,114.9443174
2010-11-01,15107688.4,5.351835789,74.56,12.33,4.37,4.58,6.4,14965625,115.3653344
2010-12-01,15149682.15,5.1968782,74.93,12.4,4.68,4.73,6.98,14738783,115.121105
2011-01-01,15195836.28,5.115546166,75.3,12.15,4.55,4.71,7.15,14787440,113.2961141
2011-02-01,15237808.7,5.098705814,75.58,12.07,4.58,4.7,7.44,14893818,116.7845703
2011-03-01,15264783.18,5.105744993,75.72,12.02,4.57,4.86,7.52,15003502,116.0217668
2011-04-01,15280044.41,5.114131671,75.72,11.76,4.61,4.78,7.26,15022588,115.4139614
2011-05-01,15298357.07,5.145543722,75.16,11.65,4.6,4.71,6.91,15050810,115.7093828
2011-06-01,15345245.99,5.237395587,75.16,11.79,4.52,4.75,6.99,15090360,115.4830598
2011-07-01,15432095.76,5.3940392,75.52,11.68,4.49,4.61,6.6,15131332,117.9871395
2011-08-01,15541716.17,5.535578443,75.64,12.17,4.42,4.4,6.09,15202180,118.3974155
2011-09-01,15638251.03,5.538249007,75.82,12.93,4.37,4.53,6.59,15315651,117.564167
2011-10-01,15695482.18,5.339489248,76.33,13.48,4.43,4.36,6.2,15445527,116.130481
2011-11-01,15726998.63,5.041655965,77.16,13.64,4.43,4.36,6.24,15550167,116.6386214
2011-12-01,15748533.06,4.820494397,77.79,13.75,4.52,4.63,6.49,15350335,115.8922347
2012-01-01,15776653.96,4.776019697,78.34,13.5,4.55,4.6,5.92,15427859,113.1291605
2012-02-01,15812524.54,4.841796506,78.5,12.8,4.48,4.56,6.23,15563594,117.2445917
2012-03-01,15851773.81,4.892780153,78.55,12.76,4.51,4.56,6.22,15695679,116.3328775
2012-04-01,15897801.16,4.854502911,78.3,13.05,4.4,4.59,6.07,15706159,116.0267271
2012-05-01,15942172.2,4.781619582,78.05,13.56,4.48,4.6,5.97,15731556,116.083606
2012-06-01,15982886.89,4.761003003,78.41,13.98,4.53,4.59,5.44,15806830,115.2751801
2012-07-01,16014481.01,4.851797306,78.85,13.39,4.51,4.56,5.2,15849227,117.935263
2012-08-01,16044294.38,4.991619781,79.09,13.18,4.51,4.58,5.42,15920256,118.361495
2012-09-01,16078687.13,5.07500385,79.44,12.99,4.51,4.53,5.32,16033095,116.8065252
2012-10-01,16121182.39,5.033160316,79.84,12.87,4.53,4.53,5.48,16182408,115.7572842
2012-11-01,16169933.1,4.919053849,80.38,13.09,4.64,4.6,5.47,16294936,116.3798319
2012-12-01,16214936.9,4.824523593,80.57,12.87,4.47,4.53,5.36,16062043,116.3553137
2013-01-01,16251599.24,4.807654873,80.89,12.72,4.44,4.6,5.11,16106212,114.2203966
2013-02-01,16268828.71,4.84368772,81.29,12.71,4.25,4.27,5.06,16227085,118.0803046
2013-03-01,16259413.67,4.878019933,81.89,12.57,4.09,4.26,4.94,16281079,116.3775075
2013-04-01,16219369.08,4.886651361,81.94,12.22,3.97,3.8,4.48,16347973,115.4669568
2013-05-01,16175369.46,4.896852607,81.67,12.25,3.8,4.03,5.47,16354902,115.2128519
2013-06-01,16156806,4.957505427,81.62,12.94,3.91,4.02,5.9,16357421,115.2352814
2013-07-01,16186406.71,5.086201382,81.59,12.79,3.98,4,6.04,16362732,118.0457773
2013-08-01,16248212.44,5.208169518,81.82,12.87,3.95,4,6.38,16414905,118.5618755
2013-09-01,16312967.31,5.206595017,82.13,13.09,3.75,3.65,6.07,16508845,117.382369
2013-10-01,16356951.49,5.022676454,82.52,13.02,3.55,3.6,6.04,16652436,116.1125115
2013-11-01,16386358.87,4.758974957,83.29,13.06,3.56,3.62,6.22,16772971,116.608763
2013-12-01,16408659.99,4.586985587,83.77,13.01,3.51,3.65,6.43,16525061,116.3456956
2014-01-01,16434710.05,4.606248131,84.52,13.36,3.55,3.73,6.63,16547040,113.7087979
2014-02-01,16471678.78,4.738682488,84.73,13.25,3.52,3.65,6.34,16672599,117.9763257
2014-03-01,16520732.37,4.842063153,84.97,13.06,3.46,3.62,6.19,16781325,116.8426635
2014-04-01,16594341.72,4.853775273,84.81,13.08,3.49,3.61,6.22,16837367,116.5285391
2014-05-01,16668552.33,4.82820625,84.54,12.86,3.51,3.59,5.84,16885220,116.2592329
2014-06-01,16726511.72,4.869706577,84.68,12.97,3.17,3.05,5.69,16928515,116.0053315
2014-07-01,16751096.29,5.035361857,84.91,13.22,2.99,3.01,5.83,16965972,118.8973444
2014-08-01,16762104.63,5.219295859,85.22,13.08,2.97,3,5.71,17023661,119.1218671
2014-09-01,16785330.45,5.250532367,85.6,13.43,2.97,3.08,6.09,17180093,117.7532133
2014-10-01,16837277.74,5.030835842,86.07,13.48,3.04,3.15,5.88,17352227,116.2712334
2014-11-01,16906568.69,4.666640524,86.76,13.93,3.01,3.2,5.76,17475077,117.3563769
2014-12-01,16966366.85,4.3535289,87.19,14.75,3.02,3.27,5.83,17239587,116.9610856
2015-01-01,17004409.48,4.205541398,87.11,14.98,3.01,3.17,5.23,17299371,115.1063832
2015-02-01,17030030.13,4.195143176,87.28,14.95,3.09,3.4,5.62,17433062,119.3212015
