Fechas,Vista_Red_MN,Vista_Patrimonial_MN,Vista_Minorista_MN,Vista_Empresas_MN,Vista_Gobierno_MN,Vista_Empresas_Gobierno_MN,Vista_Corporativa_MN,Plazo_Red_MN,Plazo_Patrimonial_MN,Plazo_Minorista_MN,Plazo_Empresas_MN,Plazo_Gobierno_MN,Plazo_Empresas_Gobierno_MN,Plazo_Corporativa_MN,Plazo_Mayorista_MN,Vista_Red_ME,Vista_Patrimonial_ME,Vista_Minorista_ME,Vista_Empresas_ME,Vista_Gobierno_ME,Vista_Empresas_Gobierno_ME,Vista_Corporativa_ME,Vista_Mayorista_ME,Plazo_Red_ME,Plazo_Patrimonial_ME,Plazo_Minorista_ME,Plazo_Empresas_ME,Plazo_Gobierno_ME,Plazo_Empresas_Gobierno_ME,Plazo_Corporativa_ME,Plazo_Mayorista_ME,Ahorro_Red_MN,Ahorro_Patrimonial_MN,Ahorro_Minorista_MN,Ahorro_Empresas_MN,Ahorro_Gobierno_MN,Ahorro_Empresas_Gobierno_MN,Ahorro_Corporativa_MN,Empresas_MN,Gobierno_MN,Corporativa_MN,Promotor,Empresas_ME,Gobierno_ME,Corporativa_ME,Gobierno_Total,PyME,TDC,Nomina,PPI,Auto,Hipotecaria
2007-01-01,68562.32798,2427.61885,70989.94683,17762.87310,21634.48687,39397.35996,11946.11859,73683.22008,12105.09780,85788.31788,15674.75213,13108.37541,28783.12754,7417.18608,36200.31361,12284.27701,1179.78341,13464.06042,12065.43346,477.60073,12543.03418,7503.93114,20046.96532,621.81897,3016.55895,3638.37792,2281.96191,83.31355,2365.27546,900.94240,3266.21786,74161.49269,140.44788,74301.94057,163.36810,0.31155,163.67966,0.10861,30184.66662,22556.75427,55648.68801,21178.88872,9678.07406,53.00767,17119.71161,22609.76194,6192.41194,70057.57788,NA,NA,14708.59412,95236.11337
2007-02-01,68639.77640,2410.74968,71050.52608,17182.17378,22398.64380,39580.81758,13504.02277,73179.64534,10786.32042,83965.96576,14720.71901,11623.82233,26344.54135,7429.67175,33774.21309,11908.39042,1139.80593,13048.19635,12289.50988,584.78871,12874.29859,7001.33080,19875.62940,603.14832,3111.24274,3714.39106,2319.19315,87.21302,2406.40616,811.86280,3218.26897,72825.12426,144.77024,72969.89449,163.04777,0.31784,163.36561,0.18579,29361.62250,22373.24289,56043.53151,21534.76185,9826.94885,54.08886,18445.63943,22427.33175,6329.64016,70875.16419,NA,NA,15036.60912,97555.39241
2007-03-01,69190.54349,2437.60452,71628.14801,18902.78545,25372.21535,44275.00080,13136.41882,73698.89887,10631.35337,84330.25225,15215.89924,12339.60409,27555.50333,6768.44633,34323.94966,11870.14107,1216.64117,13086.78224,11859.36299,487.16647,12346.52946,7091.25257,19437.78204,614.53942,2982.33012,3596.86954,2328.27577,87.96917,2416.24495,810.00577,3226.25072,77309.59579,150.08988,77459.68567,163.29095,0.08179,163.37274,0.41097,31369.61055,21996.21218,53244.04919,23409.84010,10264.27295,55.49481,17816.55126,22051.70699,6715.60388,71268.33062,NA,NA,15410.05309,101718.00896
2007-04-01,68573.34714,2372.98086,70946.32801,17463.40378,20144.29884,37607.70263,12380.95910,73382.31144,9752.26449,83134.57593,16313.76945,12385.34501,28699.11445,6078.19256,34777.30702,12357.78675,1256.33480,13614.12155,12280.34755,610.92273,12891.27028,8995.06487,21886.33515,572.60147,3032.17219,3604.77367,2262.87125,87.51225,2350.38350,690.06718,3040.45068,72351.49410,175.98645,72527.48055,162.83228,0.08707,162.91936,0.44225,31734.83599,21804.87147,52177.91062,23414.97944,10411.37003,51.75309,18704.00761,21856.62456,6902.76955,73118.83850,NA,NA,15593.25748,105823.50371
2007-05-01,69051.51650,2405.23200,71456.74850,17193.07837,21208.87854,38401.95691,10672.96772,73561.98770,8278.04761,81840.03531,15172.44663,13110.53418,28282.98081,6807.19676,35090.17757,12831.36881,1155.05272,13986.42153,11991.14714,675.65840,12666.80554,10603.93524,23270.74078,581.25612,3065.64639,3646.90251,2509.48294,82.32385,2591.80679,586.84377,3178.65055,73690.92279,156.25579,73847.17857,163.21661,0.10762,163.32423,0.32931,32667.26658,21234.31664,54484.27986,24417.93692,10213.52814,59.36169,16007.92585,21293.67833,7182.79043,73756.15486,NA,NA,15861.97993,105575.78532
2007-06-01,70739.50152,2245.16654,72984.66805,18390.26359,20323.26430,38713.52789,16043.48117,74387.80966,12414.87559,86802.68525,17295.51397,13828.53081,31124.04478,5878.97278,37003.01756,12818.81016,1164.78758,13983.59774,12748.85787,558.93671,13307.79458,9555.88833,22863.68291,590.84958,3081.65022,3672.49980,2832.17910,74.20586,2906.38496,839.02652,3745.41148,80194.80284,158.79034,80353.59318,139.93366,0.25962,140.19328,0.30077,34729.18722,21208.92851,54691.43422,27194.76240,11411.42079,66.29347,18016.24815,21275.22199,7492.12895,75164.24841,NA,NA,16055.32887,107980.95779
2007-07-01,70718.36900,2358.05738,73076.42637,17396.76849,23138.10269,40534.87118,15778.64409,74453.09266,6745.98648,81199.07913,17680.28531,15527.34562,33207.63093,8036.40974,41244.04067,13026.85268,1117.24032,14144.09300,12616.22110,549.19778,13165.41888,11520.62744,24686.04632,645.15055,3094.63171,3739.78226,2812.10108,86.01032,2898.11140,813.78562,3711.89702,74668.50856,158.18689,74826.69545,136.39884,0.25570,136.65454,0.44072,36414.93351,21261.53176,59178.00172,26697.72318,11525.39344,64.29046,22510.50007,21325.82222,7806.86284,76976.35548,NA,NA,16297.99355,110725.41181
2007-08-01,70817.79094,2315.61210,73133.40304,17435.23742,19195.65782,36630.89524,17514.27265,75123.62291,6307.03904,81430.66195,19274.07403,16804.53035,36078.60438,9108.51010,45187.11448,12664.00409,1094.82439,13758.82849,11688.28383,552.18125,12240.46507,12485.72083,24726.18590,691.45192,3151.95635,3843.40827,2847.19558,84.03117,2931.22675,922.09037,3853.31712,77339.17587,158.11662,77497.29249,134.72888,0.38744,135.11632,0.39832,36152.55949,26860.18382,54751.99385,26590.97817,12234.69754,72.91162,34085.52384,26933.09544,7753.83878,79666.01972,NA,NA,16509.41859,113433.16307
2007-09-01,70288.01319,2339.02801,72627.04120,19128.61526,22292.11621,41420.73147,17837.37388,76187.88440,5623.20266,81811.08706,17231.15146,13492.33360,30723.48507,7830.99668,38554.48175,12685.14198,952.01385,13637.15584,12481.47531,417.23163,12898.70694,9457.91199,22356.61894,652.55137,3107.63686,3760.18824,2763.69370,84.63166,2848.32536,907.79201,3756.11737,77975.55762,157.22727,78132.78489,133.23830,0.41196,133.65025,0.43802,36890.92027,23174.52158,54567.19893,26868.30559,12710.80876,65.14501,36846.14976,23239.66660,8610.04327,81072.39759,NA,NA,16667.58073,115824.57776
2007-10-01,70944.26676,2262.50357,73206.77034,18098.72605,26605.63670,44704.36275,16471.23169,77012.04377,7078.47933,84090.52311,18076.29041,15084.76450,33161.05491,6447.14049,39608.19539,13322.11546,1053.22997,14375.34543,13481.16872,440.69082,13921.85953,13327.80430,27249.66384,621.37020,3107.52854,3728.89874,2934.32257,84.08421,3018.40679,779.87503,3798.28181,72310.22382,158.18541,72468.40923,133.82431,2.10359,135.92790,0.39583,39090.34646,23826.43350,56126.68175,25717.68724,12617.45254,60.20605,36143.68905,23886.63955,8993.17412,83493.19902,NA,NA,16984.51409,116212.30226
